host id;host_identity_verified;neighbourhood;cancellation_policy;room type;Construction year;price;service fee;minimum nights;number of reviews;last review
246446822;unconfirmed;Port Morris;flexible;Entire home/apt;2005;$141 ;$28 ;2;11;6/24/2019
247284417;unconfirmed;Springfield Gardens;flexible;Private room;2003;$333 ;$67 ;1;6;1/12/2022
247361429;verified;Park Slope;strict;Entire home/apt;2014;$342 ;$68 ;4;41;6/18/2019
248212862;unconfirmed;Upper East Side;moderate;Entire home/apt;2016;$898 ;$180 ;4;13;3/8/2019
248320449;unconfirmed;Bedford-Stuyvesant;strict;Entire home/apt;2018;$249 ;$50 ;2;18;6/22/2019
248623544;unconfirmed;Financial District;moderate;Entire home/apt;2010;$472 ;$94 ;2;9;6/23/2019
249807593;unconfirmed;Washington Heights;flexible;Private room;2015;$516 ;$103 ;7;11;12/15/2021
250038813;unconfirmed;Tribeca;strict;Entire home/apt;2019;$1,110 ;;21;2;3/17/2021
250268646;unconfirmed;Lower East Side;flexible;Entire home/apt;2018;$750 ;$150 ;1;6;1/3/2022
250642312;verified;Williamsburg;strict;Private room;2022;$334 ;$67 ;3;8;8/28/2018
250724061;unconfirmed;Park Slope;strict;Private room;2005;$422 ;$84 ;3;18;5/24/2019
251619032;verified;Williamsburg;flexible;Entire home/apt;2012;$1,193 ;$239 ;2;5;11/4/2018
251717017;unconfirmed;Sunset Park;strict;Entire home/apt;2009;$731 ;$146 ;2;6;4/19/2019
252632051;verified;Prospect-Lefferts Gardens;moderate;Entire home/apt;2005;$240 ;$48 ;1;151;6/9/2019
253853853;unconfirmed;Williamsburg;strict;Private room;2012;$430 ;$86 ;5;0;
256029525;verified;Midtown;moderate;Entire home/apt;2018;$836 ;$167 ;30;0;
256212814;verified;East Elmhurst;strict;Private room;2011;$156 ;$31 ;1;104;7/4/2019
256477976;verified;Sunset Park;flexible;Private room;2011;$316 ;$63 ;6;1;11/28/2014
256989544;verified;Bedford-Stuyvesant;flexible;Private room;2009;$226 ;$45 ;2;33;5/23/2019
258866933;verified;Elmhurst;strict;Private room;2016;$888 ;$178 ;3;2;7/7/2019
259847439;verified;SoHo;moderate;Entire home/apt;2015;$935 ;$187 ;30;3;11/30/2021
261707501;verified;Sunset Park;flexible;Entire home/apt;;$589 ;$118 ;15;28;1/4/2022
263193611;verified;Midwood;moderate;Private room;2007;$602 ;$120 ;3;4;5/31/2018
263427445;unconfirmed;Bushwick;strict;Entire home/apt;2014;$602 ;$120 ;3;76;7/5/2019
264407858;unconfirmed;Rego Park;moderate;Private room;2016;$97 ;$19 ;4;2;9/15/2015
265346475;verified;Clinton Hill;strict;Entire home/apt;2013;$805 ;$161 ;2;4;5/23/2018
266098287;verified;Washington Heights;strict;Private room;2014;$566 ;$113 ;3;2;6/12/2017
266458415;verified;Hell's Kitchen;flexible;Private room;2019;$1,060 ;$212 ;10;0;
267429223;verified;Harlem;strict;Private room;2010;$207 ;$41 ;2;29;6/12/2019
270934894;unconfirmed;Bushwick;moderate;Private room;2010;$796 ;$159 ;1;0;
271758427;unconfirmed;Crown Heights;moderate;Entire home/apt;2017;$1,043 ;$209 ;3;11;4/24/2019
272108412;unconfirmed;Chelsea;strict;Private room;2022;$314 ;$63 ;1;1;10/27/2016
272381324;verified;Harlem;moderate;Entire home/apt;2003;$995 ;$199 ;1;4;11/20/2016
272913122;unconfirmed;Harlem;moderate;Private room;2018;$610 ;$122 ;2;0;
273318439;verified;Chinatown;moderate;Private room;2020;$474 ;$95 ;25;11;2/17/2019
273407753;verified;Canarsie;flexible;Entire home/apt;2009;$346 ;$69 ;2;19;2/12/2022
274314877;verified;Upper West Side;moderate;Private room;2012;$417 ;$83 ;3;0;
274321827;unconfirmed;East Harlem;strict;Private room;2018;$706 ;$141 ;5;59;7/2/2019
275152956;unconfirmed;Bedford-Stuyvesant;strict;Private room;2020;$496 ;$99 ;3;124;6/20/2019
275453586;verified;Williamsburg;flexible;Private room;2008;$144 ;$29 ;;1;5/25/2019
277337061;unconfirmed;Longwood;moderate;Private room;2016;$446 ;$89 ;1;25;12/9/2018
278535507;verified;Williamsburg;strict;Private room;2014;$944 ;$189 ;30;1;1/2/2022
279289610;unconfirmed;Bedford-Stuyvesant;strict;Entire home/apt;2003;$511 ;$102 ;4;76;1/1/2022
279318347;verified;West Village;moderate;Entire home/apt;2007;$636 ;$127 ;5;64;6/24/2019
280002712;unconfirmed;Upper West Side;strict;Entire home/apt;2010;$524 ;$105 ;2;8;12/31/2018
280114213;verified;Ditmars Steinway;strict;Private room;2012;$1,114 ;$223 ;1;14;6/30/2019
283324075;verified;Bushwick;moderate;Private room;2006;$691 ;$138 ;35;10;1/13/2022
284222161;verified;Kingsbridge;moderate;Private room;2015;$1,049 ;$210 ;4;11;5/15/2019
285312986;verified;Washington Heights;strict;Private room;2013;$748 ;$150 ;2;23;6/30/2019
285969719;unconfirmed;East Flatbush;moderate;Shared room;2003;$864 ;$173 ;30;2;4/30/2018
286219852;unconfirmed;Rosedale;strict;Private room;2011;$148 ;$30 ;1;35;5/9/2019
286520012;verified;Williamsburg;moderate;Private room;2016;$318 ;$64 ;1;0;
286614935;unconfirmed;Upper West Side;strict;Entire home/apt;2010;$934 ;$187 ;1;0;
289655714;unconfirmed;Bath Beach;strict;Private room;2006;$883 ;$177 ;4;24;5/18/2019
290033043;unconfirmed;Greenpoint;flexible;Entire home/apt;2012;$65 ;$13 ;30;3;10/31/2018
292606012;verified;Cypress Hills;moderate;Private room;2017;$875 ;$175 ;2;5;5/19/2019
293171177;unconfirmed;Williamsburg;strict;Entire home/apt;2012;$174 ;$35 ;30;3;8/31/2021
293840077;unconfirmed;Bedford-Stuyvesant;moderate;Entire home/apt;2020;$822 ;$164 ;30;5;8/31/2021
295012123;verified;Bedford-Stuyvesant;flexible;Private room;2017;$1,063 ;$213 ;30;6;1/6/2022
295594870;verified;Ridgewood;flexible;Entire home/apt;2022;$103 ;$21 ;3;10;2/23/2022
295897105;unconfirmed;Upper East Side;strict;Entire home/apt;2003;$397 ;$79 ;30;2;12/4/2021
297005403;verified;Harlem;flexible;Entire home/apt;2019;$890 ;$178 ;1;3;5/29/2016
297111348;unconfirmed;Vinegar Hill;flexible;Shared room;2008;$130 ;$26 ;3;68;12/14/2021
297264489;verified;Gramercy;strict;Entire home/apt;2007;$1,096 ;$219 ;3;5;2/19/2018
297765698;unconfirmed;East Village;strict;Entire home/apt;2012;$726 ;$145 ;1;15;1/2/2019
298540018;verified;Hell's Kitchen;flexible;Entire home/apt;2014;$162 ;$32 ;4;2;10/9/2016
298601745;verified;Ditmars Steinway;strict;Entire home/apt;2007;$327 ;$65 ;7;15;5/20/2019
298798536;unconfirmed;Chelsea;flexible;Entire home/apt;2014;$1,180 ;$236 ;30;1;8/11/2017
299080152;verified;Williamsburg;strict;Entire home/apt;2016;$896 ;$179 ;4;56;6/23/2019
299594800;unconfirmed;Williamsbridge;moderate;Private room;2018;$1,173 ;$235 ;7;3;6/30/2021
301287962;verified;Hell's Kitchen;flexible;Entire home/apt;2012;$370 ;$74 ;5;46;7/1/2019
301942365;unconfirmed;Williamsburg;flexible;Shared room;2017;$361 ;$72 ;1;31;6/30/2019
301953913;unconfirmed;Flushing;flexible;Private room;2006;$252 ;$50 ;1;43;7/5/2019
302677838;verified;Upper West Side;flexible;Private room;2018;$984 ;$197 ;3;0;
303032861;unconfirmed;Jamaica;strict;Private room;2013;$764 ;$153 ;1;0;
303046078;verified;Bedford-Stuyvesant;flexible;Entire home/apt;2012;$202 ;$40 ;30;11;9/3/2021
304872816;verified;Nolita;flexible;Private room;2017;$620 ;$124 ;6;3;7/11/2015
307690122;verified;Bushwick;flexible;Private room;2022;$777 ;$155 ;4;0;
311677135;verified;East Harlem;strict;Private room;2019;$1,061 ;$212 ;2;6;4/23/2019
312359857;unconfirmed;West Village;strict;Entire home/apt;2017;$1,105 ;$221 ;7;10;4/29/2019
312623928;unconfirmed;Long Island City;flexible;Private room;2020;$266 ;$53 ;2;27;8/21/2017
316182284;verified;East Village;flexible;Private room;2010;$95 ;$19 ;8;2;5/25/2019
316370637;unconfirmed;East Village;moderate;Private room;2006;$390 ;$78 ;2;7;3/1/2016
317082945;unconfirmed;Kips Bay;moderate;Entire home/apt;2019;$724 ;$145 ;5;69;6/26/2019
317954199;verified;Flushing;moderate;Private room;2007;$799 ;$160 ;2;129;6/23/2019
320027741;unconfirmed;Greenpoint;strict;Entire home/apt;2020;$108 ;$22 ;5;8;3/1/2022
321572762;unconfirmed;Bushwick;flexible;Entire home/apt;2011;$1,174 ;$235 ;2;41;4/14/2019
322061244;unconfirmed;Flushing;strict;Entire home/apt;2015;$874 ;$175 ;2;8;2/14/2022
322226473;verified;Lower East Side;moderate;Entire home/apt;2004;$1,063 ;$213 ;2;8;2/13/2022
323601747;unconfirmed;West Village;moderate;Entire home/apt;2003;$833 ;$167 ;60;1;2/7/2019
324333308;unconfirmed;Harlem;strict;Private room;2007;$138 ;$28 ;2;28;8/26/2018
332239998;unconfirmed;Upper West Side;strict;Entire home/apt;2015;$609 ;$122 ;30;1;5/31/2017
332400172;verified;Hell's Kitchen;strict;Entire home/apt;2020;$233 ;$47 ;3;4;3/18/2019
333013198;verified;Crown Heights;strict;Private room;2020;$1,032 ;$206 ;1;3;10/15/2017
334356607;verified;Astoria;strict;Private room;2004;$1,147 ;$229 ;5;1;1/7/2018
335009036;unconfirmed;Upper West Side;flexible;Entire home/apt;2005;$669 ;$134 ;2;5;1/20/2019
335648088;verified;Upper East Side;flexible;Entire home/apt;2014;$364 ;$73 ;30;1;11/11/2018
337026077;verified;Theater District;moderate;Private room;2005;$389 ;$78 ;1;1;5/4/2019
337503784;unconfirmed;East Village;flexible;Private room;2018;$52 ;$10 ;4;12;6/23/2019
338363515;unconfirmed;Richmond Hill;moderate;Entire home/apt;2005;$913 ;$183 ;2;10;2/21/2022
338371070;unconfirmed;Williamsburg;moderate;Private room;2013;$251 ;$50 ;7;0;
338404730;verified;Bushwick;moderate;Entire home/apt;2014;$634 ;$127 ;30;4;1/28/2022
339210294;unconfirmed;Bedford-Stuyvesant;moderate;Entire home/apt;2014;$1,126 ;$225 ;3;44;6/20/2019
339970464;verified;East Flatbush;moderate;Private room;2012;$978 ;$196 ;3;6;9/18/2016
340480514;verified;Upper East Side;flexible;Private room;2011;$762 ;$152 ;1;56;6/22/2019
340758042;verified;West Village;strict;Entire home/apt;2006;$640 ;$128 ;4;153;6/25/2019
340896410;unconfirmed;Arverne;strict;Entire home/apt;2022;$531 ;$106 ;2;21;10/10/2021
341968581;unconfirmed;Elmhurst;moderate;Shared room;2011;$1,058 ;$212 ;1;21;6/16/2019
342439874;unconfirmed;Maspeth;moderate;Entire home/apt;2016;$1,148 ;$230 ;2;51;6/22/2019
342643731;unconfirmed;Upper West Side;moderate;Private room;2012;$1,034 ;$207 ;1;4;3/25/2017
342678417;unconfirmed;Upper East Side;strict;Entire home/apt;2004;$590 ;$118 ;2;7;4/1/2019
346401963;unconfirmed;Crown Heights;moderate;Entire home/apt;2018;$360 ;$72 ;2;15;7/20/2016
346734753;unconfirmed;Upper East Side;moderate;Entire home/apt;2015;$590 ;$118 ;30;4;12/15/2021
348290589;unconfirmed;Midtown;moderate;Entire home/apt;2003;$317 ;$63 ;1;1;7/31/2016
349893039;unconfirmed;Bushwick;strict;Private room;2014;$889 ;$178 ;2;29;6/24/2019
350568551;unconfirmed;Hell's Kitchen;strict;Entire home/apt;2005;$402 ;$80 ;30;0;
351002755;verified;Woodside;moderate;Private room;2012;$194 ;$39 ;30;7;1/24/2022
351473048;unconfirmed;Bushwick;flexible;Entire home/apt;2004;$1,118 ;$224 ;1;45;6/17/2019
352092335;verified;Flushing;moderate;Private room;2022;$339 ;$68 ;2;2;12/14/2021
352097567;verified;Harlem;moderate;Entire home/apt;2011;$198 ;$40 ;3;1;6/12/2017
354717311;verified;Sunset Park;moderate;Private room;2004;$858 ;$172 ;2;0;
357418912;verified;Harlem;strict;Entire home/apt;2008;$1,091 ;$218 ;180;13;9/15/2020
357435251;verified;Glen Oaks;strict;Entire home/apt;2020;$681 ;$136 ;1;33;2/27/2022
358174372;unconfirmed;Harlem;moderate;Entire home/apt;2020;$697 ;$139 ;4;8;6/29/2019
358958108;unconfirmed;Upper East Side;flexible;Entire home/apt;2006;$83 ;$17 ;30;31;7/28/2020
359986989;unconfirmed;Harlem;strict;Private room;2005;$710 ;$142 ;1;1;1/3/2015
361477913;verified;Williamsburg;moderate;Entire home/apt;2012;$997 ;$199 ;14;14;8/28/2017
361736533;unconfirmed;Wakefield;flexible;Private room;2006;$168 ;$34 ;2;40;6/30/2019
362009554;unconfirmed;Flushing;moderate;Private room;2016;$269 ;$54 ;1;54;4/15/2019
362458689;verified;Chinatown;moderate;Private room;2011;$784 ;$157 ;1;51;6/23/2019
362635818;verified;East Village;flexible;Entire home/apt;2011;$198 ;$40 ;2;4;4/21/2019
363501410;verified;Jamaica;flexible;Entire home/apt;2003;$244 ;$49 ;2;14;7/6/2019
363691892;unconfirmed;Harlem;moderate;Entire home/apt;2011;$414 ;$83 ;2;31;6/16/2019
364087662;verified;Midtown;moderate;Entire home/apt;2007;$772 ;$154 ;2;0;
367759565;verified;Manhattan Beach;strict;Entire home/apt;2012;$1,171 ;$234 ;1;0;
369353103;verified;Bedford-Stuyvesant;moderate;Entire home/apt;2004;$462 ;$92 ;3;34;6/24/2019
369604221;unconfirmed;Long Island City;strict;Private room;2004;$719 ;$144 ;1;148;6/1/2019
370322243;unconfirmed;Midtown;moderate;Private room;2015;$1,037 ;$207 ;4;37;6/16/2019
370390609;unconfirmed;Maspeth;flexible;Entire home/apt;2017;$393 ;$79 ;2;87;7/6/2019
373759885;verified;Park Slope;flexible;Private room;2014;$1,005 ;$201 ;2;131;6/25/2019
374806664;verified;Woodside;flexible;Private room;2018;$249 ;$50 ;30;1;7/16/2021
374980953;verified;Sunset Park;strict;Private room;2006;$1,116 ;$223 ;2;1;3/19/2018
375496196;verified;East Village;flexible;Entire home/apt;2012;$744 ;$149 ;3;72;3/23/2019
376129187;unconfirmed;Jackson Heights;flexible;Private room;2018;$195 ;$39 ;1;3;6/30/2019
377795908;verified;Williamsburg;strict;Entire home/apt;2011;$324 ;$65 ;5;18;5/29/2019
378009256;verified;Upper West Side;moderate;Hotel room;2008;$594 ;$119 ;1;2;12/11/2021
